订单ID,用户手机号(假号码),设备ID,订单金额,实付金额,支付渠道,订单状态,订单时间
1283564608904503296',18981942767,157829830668829372',9.65,9.65,余额支付,订单成功,7/16/2020 08:50:25
1283562046956511232',18723348424,157829830668829372',2.49,2.49,余额支付,订单成功,7/16/2020 08:40:14
1283369878748930048',18723348424,157829841525951628',0,0,余额支付,订单成功,7/15/2020 19:56:38
1283369044220846080',18723348424,157829841525951628',0,0,余额支付,订单成功,7/15/2020 19:53:19
1283366330577461248',13972829251,157829818607994096',0,0,余额支付,订单成功,7/15/2020 19:42:32
1283265287608868864',19102916999,157829841525951628',3.85,3.85,余额支付,订单成功,7/15/2020 13:01:01
1283201558544392192',18681932356,157829830668829372',9.98,3.98,余额支付,订单成功,7/15/2020 08:47:47
1282946939406786560',19102916999,157829841525951628',5.99,5.99,余额支付,订单成功,7/14/2020 15:56:01
1282906731281915904',18981917667,157829830668829372',1.69,1.69,余额支付,订单成功,7/14/2020 13:16:15
1282898832719618048',18164925417,157829830668829372',4.89,4.89,余额支付,订单成功,7/14/2020 12:44:51
1282841699336593408',15086345752,157829830668829372',6.95,0.95,余额支付,订单成功,7/14/2020 08:57:50
1282617713075953664',18981942763,157829818607994096',2.47,2.47,余额支付,订单成功,7/13/2020 18:07:47
1282614466340724736',18072974222,157829841525951628',6.06,6.06,余额支付,订单成功,7/13/2020 17:54:53
1282570561670881280',13578935613,157829830668829372',0.53,0.53,余额支付,订单成功,7/13/2020 15:00:26
1282569331213082624',13872908595,157829818607994096',4.4,4.4,余额支付,订单成功,7/13/2020 14:55:32
1282488774546432000',19102916999,157829830668829372',1.54,1.54,余额支付,订单成功,7/13/2020 09:35:26
1282251639734149120',19102916999,157829830668829372',0,0,余额支付,订单成功,7/12/2020 17:53:09
1282251555223117824',19102916999,157829841525951628',0,0,余额支付,订单成功,7/12/2020 17:52:49
1282251476466671616',19102916999,157829841525951628',0,0,余额支付,订单成功,7/12/2020 17:52:30
1282244136665358336',13872891079,157829841525951628',9.97,9.97,余额支付,订单成功,7/12/2020 17:23:20
1282102691040075776',13873634825,157829841525951628',1.48,1.48,余额支付,订单成功,7/12/2020 08:01:17
1281898398789935104',13873634825,157829841525951628',6.39,0.39,余额支付,订单成功,7/11/2020 18:29:29
1281897256441880576',18981969025,157829841525951628',0.91,0.91,余额支付,订单成功,7/11/2020 18:24:57
1281896190249803776',15086345752,157829818607994096',5.43,0,余额支付,订单成功,7/11/2020 18:20:43
1281815119676055552',18981942767,157829830668829372',1.76,1.76,余额支付,订单成功,7/11/2020 12:58:34
1281068095020212224',18049629898,157829830668829372',6.03,6.03,余额支付,订单成功,7/9/2020 11:30:10
1280789835627634688',18667897087,157829830668829372',0.15,0.15,余额支付,订单成功,7/8/2020 17:04:27
1280787502709612544',13972914216,157829841525951628',4.5,4.5,余额支付,订单成功,7/8/2020 16:55:11
