软件1907班名单
学号,姓名,语文,英语,数学,总分
20191719,罗礼政,67,73,82,222
20191936,程鹏华,97,87,89,273
20191937,吴瑞亮,65,79,63,207
20191938,艾家伟,81,89,94,264
20191939,文佳妮,100,62,82,244
20191940,刘明丙,74,96,87,257
20191941,张军校,85,62,88,235
20191942,温旗花,100,85,95,280
20191943,潘卫平,64,69,96,229
20191944,张观娣,95,98,86,279
20191945,潘东日,76,67,86,229
20191946,占军潇,91,68,93,252
20191947,王志文,65,69,95,229
20191948,尹卓斌,84,95,86,265
20191949,陈博飞,76,96,62,234
20191950,万子闻,95,65,66,226
20191951,周伯文,92,82,82,256
20191953,姚逸平,90,92,75,257
20191954,江天赐,62,97,65,224
20191955,卢普盛,84,82,62,228
20191956,吴忧,64,92,86,242
20191957,王楚棋,75,65,66,206
20191958,胡嘉伟,87,62,62,211
20191959,肖东海,92,91,77,260
20191960,肖子晨,78,68,100,246
20191961,黎一豪,87,73,93,253
20191962,付茗昱,63,100,77,240
20191963,戴晨曦,85,65,75,225
20191964,黄敏,97,72,67,236
20191965,徐茂滨,95,97,61,253
20191966,谢文浩,80,88,87,255
20191967,邓智铖,90,85,93,268
20191968,金新江,73,78,91,242
20191969,李兵,72,86,89,247
20191970,王金文,72,87,64,223
20191971,郭彦凤,75,88,80,243
20191972,万乐杰,60,81,60,201
20191973,郑欣雨,90,70,74,234
20191974,王耀昆,80,62,94,236
20191975,郭详,86,82,69,237
